id,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
0,0.9476861770642796,0.21877170841087967,0.3262205069809315,0.7561922341067805,0.3937551415654067,0.6082113767664467,0.4445735010694285,0.7423699370897818,0.22833125236861085,0.05845798723687701
1,0.6741869488296138,0.6332689173374889,0.09949622618063814,0.6041739381725918,0.12096066223849233,0.07869767519539905,0.5273108956423933,0.402785534046495,0.5888102701562232,0.0892221680572386
2,0.06560076494502953,0.6906153123866363,0.5724077259677651,0.404519524458235,0.36361144919006383,0.2168142759291083,0.6696112565375176,0.9706680277938705,0.17571524583682585,0.5971166200155034
3,0.5334802087447829,0.5963935996924615,0.36602826574651526,0.8071070203195128,0.5232862493002498,0.11674790276879554,0.12906512482906296,0.5368591465026183,0.9365702180708392,0.30835212167619874
4,0.5639195667556237,0.5002785352077603,0.06939408590418339,0.08987685173616067,0.6009120056590861,0.3409585714355583,0.9172680665776807,0.40659053735947226,0.14328145870264108,0.714718833502036
5,0.3550152661362467,0.4819001671099774,0.5031335547483198,0.3159358223856368,0.729240249097568,0.8747470734889747,0.938719301977863,0.8050933767995262,0.8505801973065994,0.5505453006199955
6,0.12048182243846794,0.8515371718979257,0.1566128148926499,0.9747600813361953,0.842538229398637,0.5008766058895991,0.9814214249220252,0.09737672910800421,0.30306576117510164,0.6382244150406114
7,0.5592181317684581,0.5147421937567799,0.09957971354002892,0.01602815645512312,0.9636851886870491,0.37698616728684164,0.6032130620995043,0.07971507318728499,0.6831142857230466,0.9325667087059609
8,0.8473550539093668,0.009538954025544943,0.4028900310500486,0.9072431672770787,0.7403130308439514,0.5428413743340746,0.5296445270351334,0.3477700976044378,0.5205205336415145,0.6553831994634532
9,0.912363345616691,0.21066218900566658,0.6229665835634828,0.6315602200925206,0.733113022415281,0.1315676851272598,0.7158249646820886,0.909032520665641,0.17968310887024197,0.23754332492387764
10,0.499618411998762,0.30521453012885913,0.9737425820384935,0.6633626109564928,0.4082375193462987,0.2804632242046524,0.7311029830035621,0.2421834455937677,0.17170998897368817,0.5298338889620703
